NAME_2,NAME_3,lat,long,avg_rainfall,max_rainfall,elevation,slope,ndvi,month,year,landcover_class,population_density,drainage_density,distance_to_river,banjir
Banggai Kepulauan,Banggai Kepulauan_Kec_15,-1.697083,119.713242,243.4,268.15,97.67,16.53,0.621,7,2024,Tree Cover,47.84,1.062,578.69,0
Sigi,Sigi_Kec_11,0.049732,120.707952,58.94,130.51,274.4,24.89,0.306,10,2021,Built-up,3560.27,5.113,1318.07,0
Tolitoli,Tolitoli_Kec_6,0.013393,122.586076,237.69,318.58,192.35,9.96,0.271,10,2020,Agriculture,459.15,1.147,508.15,1
Tojo Una-Una,Tojo Una-Una_Kec_11,-0.103754,124.1105,89.59,150.66,92.21,5.65,0.248,5,2015,Agriculture,984.82,3.937,142.15,1
Morowali,Morowali_Kec_2,-0.132981,122.127308,104.88,166.89,15.48,20.5,0.549,4,2016,Tree Cover,422.24,3.736,256.56,0
Palu,Palu_Kec_15,-1.306957,119.504246,66.99,113.23,631.6,20.77,0.602,11,2015,Tree Cover,188.34,5.094,445.39,0
Poso,Poso_Kec_7,0.568688,119.702196,185.99,227.76,88.76,9.63,0.516,4,2019,Tree Cover,76.39,2.835,1158.62,0
Buol,Buol_Kec_6,-0.644516,122.586509,147.92,241.03,187.78,21.34,0.112,12,2018,Built-up,953.37,1.2,432.64,0
Buol,Buol_Kec_6,-1.421956,122.43955,140.4,161.13,30.61,10.67,0.564,9,2022,Tree Cover,399.57,5.536,1979.07,0
Tojo Una-Una,Tojo Una-Una_Kec_3,0.855827,120.088231,185.0,227.41,230.38,7.2,0.464,1,2017,Agriculture,149.81,2.987,1017.23,0
Banggai Kepulauan,Banggai Kepulauan_Kec_14,0.364446,121.176098,131.1,197.35,326.23,3.02,0.52,10,2020,Tree Cover,19.11,1.37,287.55,0
Banggai Laut,Banggai Laut_Kec_14,-0.522821,119.677555,197.64,243.33,71.88,18.2,0.567,2,2018,Tree Cover,257.43,4.497,149.03,0
Morowali Utara,Morowali Utara_Kec_14,-0.507206,121.15719,61.36,139.36,99.83,16.63,0.638,9,2015,Tree Cover,400.37,0.711,1326.82,0
Tojo Una-Una,Tojo Una-Una_Kec_13,0.660902,120.452147,103.35,122.05,141.89,18.8,0.504,11,2016,Tree Cover,468.93,3.417,29.38,0
Palu,Palu_Kec_2,0.315252,123.178041,144.44,235.09,392.95,14.74,0.236,9,2019,Agriculture,191.62,0.509,36.75,0
Tolitoli,Tolitoli_Kec_12,-1.799277,122.984951,79.37,138.46,53.05,10.06,0.139,10,2022,Agriculture,362.07,2.01,192.73,0
Morowali,Morowali_Kec_17,0.84276,120.495736,212.04,241.06,46.77,25.58,0.517,11,2022,Tree Cover,214.0,1.765,39.9,1
Parigi Moutong,Parigi Moutong_Kec_1,-1.497629,123.728534,139.04,191.09,250.9,14.73,0.201,5,2017,Agriculture,1245.41,3.602,2493.47,0
Banggai Laut,Banggai Laut_Kec_8,-0.734955,122.124964,160.34,254.32,78.92,32.23,0.388,12,2022,Agriculture,222.04,2.335,971.41,1
Tolitoli,Tolitoli_Kec_12,-1.342878,123.813548,229.8,263.47,69.5,23.4,0.206,8,2023,Tree Cover,409.37,2.684,194.72,0
Sigi,Sigi_Kec_4,1.101355,120.943242,159.29,165.19,222.31,19.35,0.4,6,2022,Tree Cover,355.04,0.361,404.2,0
Banggai,Banggai_Kec_19,0.445614,119.817527,133.24,145.17,124.22,22.81,-0.02,11,2019,Bareland,469.98,3.702,539.45,0
Sigi,Sigi_Kec_3,-0.118384,123.51787,126.97,164.19,221.72,18.63,0.756,8,2018,Tree Cover,82.17,1.946,65.18,0
Palu,Palu_Kec_10,0.974948,122.314078,158.93,175.72,294.23,19.39,0.644,12,2021,Tree Cover,624.11,1.349,47.85,1
Poso,Poso_Kec_15,1.145005,122.336721,136.36,198.21,23.54,28.25,0.534,1,2023,Tree Cover,670.1,4.109,172.19,0
Tolitoli,Tolitoli_Kec_17,-0.325318,120.574138,163.43,228.59,66.75,15.91,0.158,9,2020,Built-up,302.3,2.104,808.78,0
Banggai,Banggai_Kec_11,-1.098215,120.931009,139.7,267.31,368.57,18.12,0.193,4,2018,Bareland,305.55,0.466,114.42,0
Banggai Laut,Banggai Laut_Kec_5,-0.612861,123.494053,200.87,254.32,717.49,19.27,0.509,11,2021,Tree Cover,165.97,0.281,586.31,0
Morowali,Morowali_Kec_16,1.109894,120.779173,83.96,123.53,28.91,6.26,0.781,1,2016,Tree Cover,150.76,3.263,260.07,0
Morowali,Morowali_Kec_7,-0.446006,123.992317,106.95,110.87,587.94,28.93,0.314,8,2021,Agriculture,104.68,0.398,976.93,0
Buol,Buol_Kec_13,-1.766074,122.563279,228.29,296.92,14.68,17.9,0.442,6,2023,Agriculture,806.9,3.119,2695.18,0
Parigi Moutong,Parigi Moutong_Kec_8,-0.301394,122.622433,129.5,177.75,28.77,15.74,0.021,5,2024,Built-up,292.87,5.401,68.2,1
Sigi,Sigi_Kec_7,-1.407468,122.524392,221.11,259.54,6.54,10.32,0.369,7,2020,Agriculture,180.78,2.464,101.42,0
Banggai Kepulauan,Banggai Kepulauan_Kec_17,0.004661,121.321085,166.9,181.26,301.55,29.71,0.274,3,2024,Agriculture,253.65,2.465,2029.25,0
Donggala,Donggala_Kec_12,0.531402,121.477672,152.96,244.19,8.01,23.0,0.159,10,2018,Built-up,788.05,1.683,1380.34,1
Banggai Laut,Banggai Laut_Kec_2,-0.408408,121.108853,150.04,223.08,262.13,6.51,0.006,5,2016,Bareland,222.77,1.688,860.75,0
Banggai Laut,Banggai Laut_Kec_9,-0.382558,120.557013,89.76,159.47,133.0,18.04,0.055,5,2020,Built-up,186.13,5.5,2330.49,0
Banggai Kepulauan,Banggai Kepulauan_Kec_2,-1.368045,123.122015,149.05,181.34,318.28,5.0,0.644,11,2015,Tree Cover,652.81,1.171,236.19,0
Banggai Kepulauan,Banggai Kepulauan_Kec_2,-0.95934,122.209824,201.17,278.39,35.99,16.61,0.103,1,2021,Built-up,1417.77,0.314,138.91,1
Donggala,Donggala_Kec_1,0.382697,122.138527,157.78,225.08,258.67,34.43,0.313,10,2023,Agriculture,149.98,4.998,854.85,0
Tolitoli,Tolitoli_Kec_4,-1.089325,124.11078,157.0,197.09,194.17,5.02,0.168,10,2019,Bareland,63.67,4.509,1607.67,0
Tojo Una-Una,Tojo Una-Una_Kec_13,0.796069,122.729307,117.66,126.82,363.5,27.53,0.508,3,2020,Tree Cover,479.02,5.794,139.6,0
Donggala,Donggala_Kec_18,-0.837056,122.137432,106.87,160.16,216.43,23.26,0.169,1,2020,Bareland,436.36,0.401,326.29,0
Tojo Una-Una,Tojo Una-Una_Kec_5,0.522874,122.723804,169.76,240.75,146.53,2.29,0.285,5,2019,Agriculture,148.6,0.611,1151.93,0
Tolitoli,Tolitoli_Kec_1,0.720978,124.307659,223.23,270.8,294.49,20.65,0.133,5,2018,Bareland,417.73,5.123,2854.8,0
Morowali Utara,Morowali Utara_Kec_4,0.965823,120.160246,57.84,115.05,336.3,10.57,0.147,8,2021,Built-up,132.18,0.854,597.0,0
Banggai,Banggai_Kec_9,-0.4418,120.118015,188.66,298.66,96.02,9.46,0.335,7,2019,Agriculture,172.84,5.653,786.43,0
Morowali Utara,Morowali Utara_Kec_4,-0.676756,120.166586,257.72,272.96,257.5,8.51,0.062,11,2019,Built-up,420.11,2.108,815.8,0
Tolitoli,Tolitoli_Kec_20,-0.023125,123.34155,10.0,93.61,115.14,19.26,0.558,6,2024,Tree Cover,1179.37,2.804,1013.37,0
Donggala,Donggala_Kec_10,-0.361234,122.115764,187.54,196.6,163.42,19.21,0.408,4,2016,Agriculture,181.27,3.855,816.75,0
Buol,Buol_Kec_4,-0.637211,121.350024,116.09,119.78,562.42,30.14,0.789,8,2022,Tree Cover,308.8,0.448,138.27,0
Tojo Una-Una,Tojo Una-Una_Kec_7,-1.032094,121.422246,170.6,220.83,234.23,9.94,0.369,9,2018,Agriculture,747.64,1.061,216.18,1
Buol,Buol_Kec_9,-0.467671,122.098303,140.26,148.86,272.01,2.62,0.409,5,2024,Agriculture,436.97,5.39,1255.03,0
Morowali,Morowali_Kec_14,-0.871349,121.617291,105.15,198.31,136.23,4.32,0.204,8,2018,Tree Cover,469.47,1.695,122.87,0
Sigi,Sigi_Kec_2,1.077121,121.382802,236.22,292.21,9.72,25.29,0.619,1,2018,Tree Cover,155.81,0.747,238.22,1
Banggai,Banggai_Kec_16,-1.643386,121.893401,154.89,256.15,14.92,34.96,0.114,4,2022,Agriculture,181.78,3.509,270.98,0
Tolitoli,Tolitoli_Kec_16,-0.675213,120.160578,184.22,196.42,10.65,11.32,0.46,8,2016,Tree Cover,686.25,5.503,48.13,0
Parigi Moutong,Parigi Moutong_Kec_1,-0.556779,121.362258,82.23,120.88,32.39,22.91,0.142,7,2016,Agriculture,836.47,1.979,1029.35,0
Banggai Laut,Banggai Laut_Kec_3,-0.035832,121.112394,112.92,151.7,541.51,13.41,0.458,8,2017,Agriculture,134.22,5.412,1393.26,0
Banggai Kepulauan,Banggai Kepulauan_Kec_16,1.197803,122.860777,180.71,231.15,340.07,20.7,0.601,2,2024,Tree Cover,428.12,0.456,263.13,0
Sigi,Sigi_Kec_3,-1.75833,121.266899,118.8,144.14,344.01,23.79,-0.076,2,2024,Built-up,1787.84,5.448,674.47,0
Donggala,Donggala_Kec_4,0.67148,119.89888,127.71,166.67,355.31,11.46,0.333,1,2020,Tree Cover,291.07,2.722,432.87,0
Banggai Laut,Banggai Laut_Kec_8,1.100606,122.518668,149.16,240.14,256.61,14.08,0.182,11,2016,Bareland,450.85,5.377,651.55,0
Poso,Poso_Kec_9,0.296162,121.802404,84.71,126.57,96.87,10.08,0.622,2,2022,Tree Cover,1780.23,3.521,2082.94,0
Tojo Una-Una,Tojo Una-Una_Kec_2,-1.40203,120.827366,146.25,186.87,142.48,12.85,0.421,8,2019,Agriculture,201.74,5.234,148.92,0
Sigi,Sigi_Kec_2,0.518543,122.556103,128.19,205.26,36.31,15.26,0.386,1,2017,Tree Cover,419.06,0.603,223.15,0
Morowali,Morowali_Kec_11,0.920432,123.860094,214.33,230.76,27.63,35.14,0.554,8,2023,Tree Cover,825.25,4.654,2716.53,1
Morowali Utara,Morowali Utara_Kec_4,0.583603,122.973788,100.22,156.06,36.2,17.3,0.255,6,2016,Agriculture,20.99,0.697,585.29,0
Buol,Buol_Kec_2,1.170294,123.80932,86.34,137.96,162.33,30.97,0.162,11,2019,Agriculture,105.06,2.482,148.3,0
Sigi,Sigi_Kec_6,0.137075,123.564091,96.16,116.85,302.59,18.59,0.65,3,2016,Tree Cover,208.99,0.683,296.48,0
Morowali,Morowali_Kec_12,1.163982,123.46684,129.61,215.71,195.27,2.22,0.673,6,2020,Tree Cover,223.46,4.147,1519.97,0
Tojo Una-Una,Tojo Una-Una_Kec_20,1.139671,120.580359,131.96,136.67,532.7,11.0,0.325,8,2015,Tree Cover,531.1,0.405,175.68,0
Tolitoli,Tolitoli_Kec_3,0.779496,122.106085,177.74,241.11,216.36,11.41,0.395,8,2016,Tree Cover,69.48,4.672,284.04,0
Morowali,Morowali_Kec_6,-0.985433,121.625839,154.32,220.83,110.88,6.31,0.255,4,2018,Agriculture,574.57,4.292,1781.17,0
Morowali Utara,Morowali Utara_Kec_13,0.781797,124.226456,80.11,166.56,104.08,31.06,0.569,4,2015,Tree Cover,253.23,4.897,298.39,0
Tojo Una-Una,Tojo Una-Una_Kec_9,-1.174582,121.42723,214.24,253.0,332.4,26.13,0.527,10,2021,Tree Cover,212.64,2.452,2355.26,0
Morowali Utara,Morowali Utara_Kec_16,-1.250031,121.327964,43.73,130.52,515.56,28.1,-0.008,4,2018,Bareland,304.83,5.082,3128.17,0
Banggai Laut,Banggai Laut_Kec_6,0.602645,119.610031,165.99,250.12,129.77,18.51,0.399,6,2023,Agriculture,1462.25,3.66,524.42,1
Sigi,Sigi_Kec_2,-1.730561,123.060662,84.11,182.55,224.92,14.14,0.23,12,2017,Agriculture,285.32,0.082,205.22,0
Donggala,Donggala_Kec_14,0.455294,121.886011,224.13,259.39,140.27,5.23,0.197,12,2015,Built-up,1440.1,1.593,1474.92,1
Tojo Una-Una,Tojo Una-Una_Kec_19,-0.302882,123.302657,180.35,207.31,78.94,25.95,0.525,7,2018,Tree Cover,221.34,5.376,1468.18,0
Banggai Laut,Banggai Laut_Kec_15,-1.597756,120.542845,161.15,215.75,64.09,14.94,0.575,7,2020,Built-up,3054.86,0.097,673.57,0
Sigi,Sigi_Kec_20,-0.909139,123.134262,126.85,220.39,31.06,8.64,0.489,1,2024,Tree Cover,245.39,2.109,563.93,0
Buol,Buol_Kec_12,0.246462,119.778674,57.62,74.67,261.82,23.31,0.514,11,2018,Tree Cover,243.02,3.939,32.09,0
Banggai Kepulauan,Banggai Kepulauan_Kec_1,1.129618,124.476928,271.46,295.95,613.15,27.68,0.418,2,2017,Agriculture,459.56,5.545,588.72,0
Tojo Una-Una,Tojo Una-Una_Kec_16,-0.69135,119.551947,182.73,248.7,38.21,26.22,0.196,4,2019,Agriculture,101.5,5.334,1531.17,0
Morowali Utara,Morowali Utara_Kec_15,-1.593585,124.459947,110.87,176.13,83.67,13.72,0.425,8,2016,Agriculture,70.03,4.879,1122.42,0
Donggala,Donggala_Kec_9,-0.768891,120.422652,208.32,273.71,135.21,20.67,0.365,11,2023,Tree Cover,691.75,3.874,1697.85,0
Palu,Palu_Kec_17,1.146343,123.945793,199.56,303.5,206.06,6.72,0.522,1,2021,Tree Cover,1775.17,0.995,269.17,0
Buol,Buol_Kec_19,-0.178489,121.805328,210.22,293.17,19.74,9.18,0.27,3,2018,Agriculture,246.91,2.046,3987.63,1
Banggai Laut,Banggai Laut_Kec_11,-1.230588,122.649735,116.9,130.89,36.73,24.03,0.323,5,2020,Agriculture,531.4,0.736,495.69,0
Morowali Utara,Morowali Utara_Kec_8,-0.854165,121.920935,67.79,117.8,355.56,15.96,0.43,10,2021,Tree Cover,1611.1,1.93,859.05,0
Morowali,Morowali_Kec_13,-0.747401,120.040341,83.44,218.39,93.11,21.01,0.294,1,2023,Agriculture,322.46,3.787,2367.1,0
Banggai,Banggai_Kec_20,0.115767,122.646148,199.68,277.52,222.16,31.07,0.601,11,2018,Tree Cover,205.95,2.451,1302.12,0
Palu,Palu_Kec_1,-0.874116,120.626996,183.7,276.93,263.08,23.57,0.039,5,2024,Built-up,223.28,0.847,1443.93,0
Sigi,Sigi_Kec_17,-0.296065,120.433031,112.96,170.09,141.2,10.72,0.024,9,2017,Bareland,277.28,4.45,1322.27,1
Tojo Una-Una,Tojo Una-Una_Kec_6,-1.231777,120.968974,117.89,204.37,53.33,12.79,0.255,3,2017,Agriculture,48.65,1.741,14.78,0
Buol,Buol_Kec_16,0.527845,119.662139,154.37,246.12,94.4,30.26,0.139,3,2016,Bareland,91.65,1.887,3081.22,0
Parigi Moutong,Parigi Moutong_Kec_11,-0.07647,124.405274,82.39,149.07,187.62,21.59,0.479,7,2021,Tree Cover,310.76,2.95,1231.6,0
Palu,Palu_Kec_17,1.06539,123.465324,160.68,192.16,20.71,13.2,0.459,10,2023,Agriculture,379.84,1.702,1076.65,0
Banggai,Banggai_Kec_13,0.810445,122.756197,142.54,170.1,108.76,14.71,0.278,4,2019,Tree Cover,171.2,0.476,37.43,0
Parigi Moutong,Parigi Moutong_Kec_3,-0.333334,120.776568,177.9,259.78,156.19,24.66,0.504,4,2016,Tree Cover,189.74,5.983,202.72,0
Tojo Una-Una,Tojo Una-Una_Kec_15,-1.084744,124.190673,104.02,122.09,180.21,2.93,0.713,10,2023,Tree Cover,701.04,5.543,1134.82,0
Buol,Buol_Kec_19,-0.392621,121.676319,98.0,144.64,115.83,2.77,0.214,8,2023,Tree Cover,754.21,4.577,489.19,0
Donggala,Donggala_Kec_16,-0.405383,122.739436,203.46,233.22,13.43,20.24,0.191,4,2022,Bareland,261.69,3.435,482.3,1
Morowali,Morowali_Kec_4,-0.945902,122.806661,83.6,126.11,270.18,13.34,0.408,8,2023,Tree Cover,198.54,1.256,148.65,0
Tolitoli,Tolitoli_Kec_1,0.593518,121.977689,135.11,200.98,92.73,20.27,0.191,9,2017,Agriculture,121.99,0.98,40.01,0
Morowali Utara,Morowali Utara_Kec_14,0.626472,121.95148,175.43,200.61,10.63,12.97,-0.15,6,2016,Agriculture,383.81,2.174,42.99,1
Banggai,Banggai_Kec_18,-0.086409,121.888602,113.32,182.22,355.67,12.25,0.38,5,2024,Agriculture,518.16,3.302,3204.82,0
Donggala,Donggala_Kec_20,-0.560596,122.582064,94.91,136.8,264.77,14.41,0.337,3,2018,Tree Cover,220.39,3.837,211.47,0
Banggai,Banggai_Kec_18,1.199922,122.476438,209.27,233.76,103.3,17.86,0.603,8,2018,Tree Cover,88.38,3.891,73.17,1
Parigi Moutong,Parigi Moutong_Kec_15,0.558996,120.504808,188.49,277.22,47.0,28.67,0.276,7,2024,Tree Cover,429.91,4.766,794.26,0
Morowali,Morowali_Kec_2,-1.718792,120.082638,151.6,178.06,81.42,22.36,0.343,3,2022,Agriculture,284.22,4.577,979.73,0
Tojo Una-Una,Tojo Una-Una_Kec_11,0.058364,124.249591,176.43,232.74,214.42,18.52,0.568,1,2018,Tree Cover,201.19,4.484,446.15,0
Banggai,Banggai_Kec_20,-0.207714,123.324285,203.21,258.05,159.83,7.76,0.398,4,2017,Tree Cover,403.03,5.302,85.29,1
Tolitoli,Tolitoli_Kec_12,0.595862,122.018877,104.35,129.78,692.56,5.42,0.38,12,2016,Built-up,10000.0,0.266,2508.49,0
Tolitoli,Tolitoli_Kec_15,-0.184978,121.478373,159.11,263.35,216.99,4.11,0.35,9,2023,Agriculture,107.11,0.799,379.31,0
Donggala,Donggala_Kec_8,-1.581745,122.519117,116.56,150.49,4.53,32.65,0.386,7,2020,Agriculture,608.29,1.357,1044.19,0
Morowali,Morowali_Kec_12,0.200534,120.110109,178.6,222.97,68.72,15.78,-0.226,2,2018,Built-up,332.4,5.854,1003.32,0
Buol,Buol_Kec_10,-0.035426,119.585623,203.88,213.54,206.17,27.93,0.249,2,2016,Tree Cover,78.14,1.019,99.62,0
Tolitoli,Tolitoli_Kec_4,-0.898588,124.487132,230.82,240.42,198.23,42.41,0.116,12,2023,Agriculture,360.58,4.758,324.12,0
Sigi,Sigi_Kec_16,-0.961395,121.163181,143.55,175.74,491.52,19.98,0.285,8,2015,Agriculture,79.03,5.237,1290.4,0
Tolitoli,Tolitoli_Kec_14,0.742898,122.598248,178.17,198.59,50.66,14.88,0.533,7,2015,Tree Cover,834.25,4.039,828.6,0
Donggala,Donggala_Kec_9,-1.369227,124.393141,217.12,265.83,110.7,8.14,0.513,11,2017,Tree Cover,1653.86,5.843,66.61,0
Banggai Kepulauan,Banggai Kepulauan_Kec_7,-0.611187,123.621206,59.3,64.98,119.25,11.73,0.489,12,2018,Agriculture,773.48,0.904,103.53,0
Donggala,Donggala_Kec_13,-1.384415,120.580824,91.08,186.34,27.13,16.32,0.497,6,2024,Agriculture,93.62,4.973,903.03,0
Tojo Una-Una,Tojo Una-Una_Kec_7,0.946871,121.459004,176.95,248.52,170.33,10.33,0.017,10,2023,Built-up,138.55,2.417,363.37,0
Morowali,Morowali_Kec_4,-1.54291,120.841023,248.72,314.13,297.26,1.47,0.683,10,2022,Built-up,2104.16,2.692,593.63,0
Buol,Buol_Kec_14,0.352113,123.883055,153.49,216.66,2.78,17.31,0.284,3,2021,Agriculture,624.08,2.525,908.11,0
Banggai Laut,Banggai Laut_Kec_19,-0.972791,122.731647,215.11,284.48,0.62,15.58,0.187,1,2015,Agriculture,251.69,2.383,26.46,1
Buol,Buol_Kec_15,0.745131,121.420123,240.64,242.58,64.08,18.94,0.778,8,2020,Tree Cover,569.1,4.64,553.3,0
Tojo Una-Una,Tojo Una-Una_Kec_19,1.00031,119.771349,188.11,230.25,190.36,5.6,0.693,8,2020,Tree Cover,86.32,0.697,273.58,0
Banggai,Banggai_Kec_5,-0.035136,121.900615,153.59,253.25,73.36,31.78,0.524,2,2018,Tree Cover,163.07,5.346,291.69,0
Tojo Una-Una,Tojo Una-Una_Kec_1,-1.535877,123.102202,155.77,237.2,494.8,19.28,0.48,7,2020,Agriculture,1095.65,0.464,163.61,0
Banggai,Banggai_Kec_14,-1.44227,122.394581,179.82,186.91,53.57,26.76,0.166,10,2024,Built-up,265.0,0.091,559.97,0
Tojo Una-Una,Tojo Una-Una_Kec_17,-0.143781,122.538626,164.77,212.63,25.67,14.52,0.502,3,2021,Tree Cover,42.92,5.238,1145.27,0
Buol,Buol_Kec_6,0.665159,124.330384,199.35,243.66,32.57,19.85,0.682,12,2023,Tree Cover,214.7,5.769,323.69,0
Tolitoli,Tolitoli_Kec_19,0.639986,121.365142,247.15,286.22,394.29,44.3,0.765,2,2019,Tree Cover,136.07,3.771,32.28,0
Sigi,Sigi_Kec_5,-0.919958,122.916729,162.57,222.07,40.2,11.57,0.116,12,2015,Agriculture,259.47,1.228,399.63,0
Morowali Utara,Morowali Utara_Kec_20,-0.751326,124.184845,209.09,265.56,286.03,7.72,0.182,10,2016,Built-up,218.47,5.772,374.86,0
Morowali,Morowali_Kec_17,0.753733,121.169997,128.11,156.58,458.77,16.74,0.327,6,2015,Tree Cover,592.1,5.267,230.06,0
Morowali Utara,Morowali Utara_Kec_20,-0.213272,120.893029,171.48,234.58,257.72,11.39,0.28,3,2019,Agriculture,278.25,1.104,896.36,0
Poso,Poso_Kec_13,0.648196,122.048435,90.82,105.42,79.18,16.78,0.456,8,2024,Tree Cover,217.94,3.429,142.08,0
Poso,Poso_Kec_15,-0.14215,121.839946,72.09,105.94,310.49,11.14,0.337,9,2020,Agriculture,351.77,2.185,250.07,0
Sigi,Sigi_Kec_14,-0.032564,121.02846,130.26,156.42,96.0,7.98,0.275,11,2018,Tree Cover,446.12,3.557,263.62,0
Tolitoli,Tolitoli_Kec_18,-1.529595,123.430541,208.55,221.67,88.51,46.47,0.151,5,2015,Bareland,228.58,3.648,167.68,0
Tolitoli,Tolitoli_Kec_18,0.891294,122.171572,146.08,164.92,220.8,6.8,0.631,12,2022,Tree Cover,254.58,0.925,1653.71,0
Banggai Laut,Banggai Laut_Kec_7,-0.91791,123.03295,200.55,269.08,40.64,9.85,0.329,10,2018,Agriculture,153.22,5.351,4094.0,0
Parigi Moutong,Parigi Moutong_Kec_20,-1.660295,121.029781,108.64,170.59,71.33,19.58,-0.004,6,2023,Built-up,104.44,4.507,95.54,0
Poso,Poso_Kec_12,-1.72113,121.71551,176.35,229.37,170.63,24.83,0.351,4,2018,Agriculture,72.81,0.517,1763.02,0
Tolitoli,Tolitoli_Kec_6,-0.851679,119.728212,80.68,174.14,476.36,29.68,0.223,9,2018,Tree Cover,770.76,2.995,448.57,0
Tolitoli,Tolitoli_Kec_4,-0.095881,120.123715,111.1,186.6,224.29,18.07,0.432,1,2023,Tree Cover,91.52,3.938,651.63,0
Banggai,Banggai_Kec_16,0.065251,123.569517,102.58,205.87,1.97,7.26,0.326,8,2015,Tree Cover,31.32,1.47,807.08,0
Banggai Laut,Banggai Laut_Kec_18,-1.127799,122.039386,192.3,300.7,91.03,13.39,0.351,10,2016,Tree Cover,199.16,1.64,775.88,1
Morowali Utara,Morowali Utara_Kec_1,0.180537,122.840651,51.94,52.54,51.06,15.71,0.319,4,2016,Agriculture,220.7,4.49,179.91,0
Palu,Palu_Kec_13,-1.549607,120.852789,206.37,273.06,139.13,19.14,0.145,11,2020,Agriculture,596.73,2.895,454.04,0
Palu,Palu_Kec_2,-0.720814,120.333375,151.26,190.64,150.63,24.83,0.224,11,2016,Built-up,2683.32,2.842,1085.94,1
Parigi Moutong,Parigi Moutong_Kec_9,0.331615,122.890252,223.26,312.56,83.74,20.91,0.466,2,2021,Agriculture,1219.44,1.749,4678.72,0
Poso,Poso_Kec_9,-0.441296,119.51467,297.14,329.62,272.38,25.74,0.464,7,2018,Agriculture,1013.99,5.452,213.9,1
Palu,Palu_Kec_10,-0.186026,123.870872,86.47,133.45,40.29,14.51,0.413,2,2021,Agriculture,104.55,2.565,872.77,0
Buol,Buol_Kec_18,-0.812467,124.12182,47.07,95.82,178.63,9.94,0.12,11,2017,Agriculture,101.85,4.118,95.62,0
Morowali,Morowali_Kec_15,-1.293047,119.707156,220.74,242.88,200.76,12.38,-0.081,5,2016,Agriculture,85.26,0.405,5.0,0
Banggai Kepulauan,Banggai Kepulauan_Kec_18,1.02633,119.970557,191.72,205.72,594.2,23.92,0.351,5,2018,Agriculture,23.31,2.018,89.53,0
Tolitoli,Tolitoli_Kec_18,0.750624,123.151117,110.87,135.54,246.49,30.2,0.126,4,2022,Bareland,1384.53,3.101,269.73,0
Parigi Moutong,Parigi Moutong_Kec_17,-0.00949,122.396915,172.65,249.96,263.28,17.29,0.345,11,2019,Tree Cover,519.34,2.129,290.29,0
Tolitoli,Tolitoli_Kec_2,-0.502316,123.493768,201.79,228.44,242.62,31.96,0.004,5,2024,Bareland,118.7,1.327,629.32,0
Morowali Utara,Morowali Utara_Kec_14,0.652331,120.627901,83.49,104.2,767.51,15.25,0.479,4,2022,Tree Cover,102.63,3.376,230.78,0
Banggai,Banggai_Kec_2,-0.266176,120.14483,96.88,175.97,2.75,5.45,-0.196,5,2018,Agriculture,418.42,3.553,53.8,0
Tolitoli,Tolitoli_Kec_9,1.178254,121.437014,155.91,179.03,30.44,25.11,0.131,4,2015,Agriculture,765.85,5.951,342.99,0
Banggai Kepulauan,Banggai Kepulauan_Kec_15,-1.366874,123.293704,128.75,165.56,45.73,11.3,0.563,3,2024,Tree Cover,323.97,3.237,888.9,0
Parigi Moutong,Parigi Moutong_Kec_12,0.372989,121.102126,188.83,288.03,95.11,5.07,0.445,5,2021,Agriculture,157.8,5.235,1813.34,0
Buol,Buol_Kec_7,0.518573,122.564738,193.96,259.53,66.44,12.24,0.05,10,2024,Bareland,191.18,1.913,48.84,0
Tojo Una-Una,Tojo Una-Una_Kec_6,-0.329059,124.230685,181.44,279.1,111.62,8.2,0.351,6,2024,Agriculture,1352.82,0.717,970.02,0
Sigi,Sigi_Kec_6,0.665237,120.921388,84.83,139.5,686.98,2.11,0.227,7,2020,Agriculture,176.25,2.093,177.34,0
Morowali Utara,Morowali Utara_Kec_2,0.729933,122.140261,187.85,227.24,165.5,14.98,0.378,12,2023,Tree Cover,471.72,3.874,897.49,0
Poso,Poso_Kec_18,-1.018493,122.413389,161.96,197.32,454.94,13.67,0.115,9,2019,Bareland,764.43,3.083,863.91,1
Sigi,Sigi_Kec_6,-1.359102,123.183646,147.94,201.96,181.49,13.13,0.145,5,2017,Built-up,509.6,0.166,215.14,0
Poso,Poso_Kec_1,-1.07254,123.151451,235.47,297.7,197.89,2.95,0.163,6,2018,Bareland,69.24,4.024,636.09,1
Tojo Una-Una,Tojo Una-Una_Kec_5,-1.269265,120.804698,155.52,187.44,73.22,27.61,0.188,8,2019,Agriculture,1173.98,3.981,588.17,0
Sigi,Sigi_Kec_11,0.631483,123.420984,210.06,267.87,631.31,27.29,0.088,4,2021,Built-up,519.64,1.152,1060.84,0
Palu,Palu_Kec_20,-0.065068,122.891284,204.37,208.93,204.54,35.44,0.04,5,2023,Built-up,876.99,4.395,497.19,1
Poso,Poso_Kec_16,-0.891856,123.269917,168.97,247.33,319.34,12.21,0.129,10,2015,Built-up,221.92,1.606,312.42,0
Banggai,Banggai_Kec_12,0.722657,120.023401,150.12,158.71,393.7,7.53,0.131,2,2016,Agriculture,78.65,5.264,908.67,0
Buol,Buol_Kec_11,-1.073638,119.589767,118.61,179.75,65.07,4.54,0.186,4,2018,Built-up,58.49,1.485,196.19,0
